"filename", "language", "C++", "LaTeX", "SVG", "qml", "Markdown", "JSON", "CSV", "comment", "blank", "total"
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\details.md", "Markdown", 0, 0, 0, 0, -94, 0, 0, 0, -6, -100
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\diff-details.md", "Markdown", 0, 0, 0, 0, -9, 0, 0, 0, -6, -15
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\diff.md", "Markdown", 0, 0, 0, 0, -12, 0, 0, 0, -7, -19
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\results.json", "JSON", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-20_22-46-21\results.md", "Markdown", 0, 0, 0, 0, -26, 0, 0, 0, -7, -33
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\details.md", "Markdown", 0, 0, 0, 0, 98, 0, 0, 0, 6, 104
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff-details.md", "Markdown", 0, 0, 0, 0, 183, 0, 0, 0, 6, 189
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 176, 0, 0, 176
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 91, 0, 0, 91
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 7, 35
"d:\study\train\RailwaySystem\accountmanager.cpp", "C++", 77, 0, 0, 0, 0, 0, 0, 4, 11, 92
"d:\study\train\RailwaySystem\accountmanager.h", "C++", 6, 0, 0, 0, 0, 0, 0, 4, 0, 10
"d:\study\train\RailwaySystem\bookingsystem.cpp", "C++", 182, 0, 0, 0, 0, 0, 0, 20, 19, 221
"d:\study\train\RailwaySystem\bookingsystem.h", "C++", 5, 0, 0, 0, 0, 0, 0, 5, 0, 10
"d:\study\train\RailwaySystem\city.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\study\train\RailwaySystem\city.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\study\train\RailwaySystem\ordermanager.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\study\train\RailwaySystem\ordermanager.h", "C++", 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\study\train\RailwaySystem\passengermanager.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 3, 2, 34
"d:\study\train\RailwaySystem\passengermanager.h", "C++", 1, 0, 0, 0, 0, 0, 0, 3, 0, 4
"d:\study\train\RailwaySystem\qml\components\ConfirmCancelDialog.qml", "qml", 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"d:\study\train\RailwaySystem\qml\components\ConfirmDialog.qml", "qml", 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"d:\study\train\RailwaySystem\qml\components\SearchableComboBox.qml", "qml", 0, 0, 0, 100, 0, 0, 0, 9, 21, 130
"d:\study\train\RailwaySystem\qml\components\SideBar.qml", "qml", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\study\train\RailwaySystem\qml\components\TimetableView.qml", "qml", 0, 0, 0, 244, 0, 0, 0, 17, 12, 273
"d:\study\train\RailwaySystem\qml\pages\AccountManagement.qml", "qml", 0, 0, 0, 77, 0, 0, 0, 8, 9, 94
"d:\study\train\RailwaySystem\qml\pages\EditPassengerInfoDialog.qml", "qml", 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"d:\study\train\RailwaySystem\qml\pages\EditPassingStationDialog.qml", "qml", 0, 0, 0, 110, 0, 0, 0, 0, -3, 107
"d:\study\train\RailwaySystem\qml\pages\EditSeatTemplateDialog.qml", "qml", 0, 0, 0, 275, 0, 0, 0, 70, 46, 391
"d:\study\train\RailwaySystem\qml\pages\Login.qml", "qml", 0, 0, 0, 108, 0, 0, 0, 6, 5, 119
"d:\study\train\RailwaySystem\qml\pages\OrderConfirm.qml", "qml", 0, 0, 0, 19, 0, 0, 0, 2, 1, 22
"d:\study\train\RailwaySystem\qml\pages\PassengerInfo.qml", "qml", 0, 0, 0, 67, 0, 0, 0, 2, 3, 72
"d:\study\train\RailwaySystem\qml\pages\PersonalInfoDialog.qml", "qml", 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"d:\study\train\RailwaySystem\qml\pages\Profile.qml", "qml", 0, 0, 0, 21, 0, 0, 0, 1, 0, 22
"d:\study\train\RailwaySystem\qml\pages\RegisterDialog.qml", "qml", 0, 0, 0, 28, 0, 0, 0, -392, -42, -406
"d:\study\train\RailwaySystem\qml\pages\ResetPasswordDialog.qml", "qml", 0, 0, 0, 16, 0, 0, 0, 2, 1, 19
"d:\study\train\RailwaySystem\qml\pages\SubmitOrderDialog.qml", "qml", 0, 0, 0, 8, 0, 0, 0, 2, 2, 12
"d:\study\train\RailwaySystem\qml\pages\TicketQuery.qml", "qml", 0, 0, 0, 0, 0, 0, 0, -1, 1, 0
"d:\study\train\RailwaySystem\qml\pages\TicketQueryResult.qml", "qml", 0, 0, 0, 24, 0, 0, 0, 8, 5, 37
"d:\study\train\RailwaySystem\qml\pages\TimetableManagement.qml", "qml", 0, 0, 0, 83, 0, 0, 0, 8, 13, 104
"d:\study\train\RailwaySystem\qml\pages\TrainManagement.qml", "qml", 0, 0, 0, 212, 0, 0, 0, 24, 17, 253
"d:\study\train\RailwaySystem\qml\pages\UserManagement.qml", "qml", 0, 0, 0, 36, 0, 0, 0, 3, -1, 38
"d:\study\train\RailwaySystem\softwareTest\测试报告.tex", "LaTeX", 0, 1217, 0, 0, 0, 0, 0, 9, 112, 1338
"d:\study\train\RailwaySystem\stationmanager.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\study\train\RailwaySystem\stationmanager.h", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"d:\study\train\RailwaySystem\test\顺序表-解锁.svg", "SVG", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\study\train\RailwaySystem\time.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\study\train\RailwaySystem\timetable.cpp", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 1, -4
"d:\study\train\RailwaySystem\timetable.h", "C++", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\study\train\RailwaySystem\train.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\study\train\RailwaySystem\train.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\study\train\RailwaySystem\trainmanager.cpp", "C++", 74, 0, 0, 0, 0, 0, 0, 5, 8, 87
"d:\study\train\RailwaySystem\trainmanager.h", "C++", 3, 0, 0, 0, 0, 0, 0, 3, 0, 6
"d:\study\train\RailwaySystem\user.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\study\train\RailwaySystem\user.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 486, 1217, 1, 1461, 209, 0, 267, -162, 261, 3740